/gpfs/workdir/dunoyerg/output_faces_rgb.csv /gpfs/workdir/dunoyerg/photos_apprentissage_visage_rgb/ /gpfs/workdir/dunoyerg/output_print/faces_187475.csv /gpfs/workdir/dunoyerg/output_print/faces_187475.csv
device : cuda:0
446778
3072
##############################
no DataParallel
Working on model =   batch size: 256 epochs: 0 lr: 0.1
Train Epoch: 0 [0/446778 (0%)]	Loss: 0.803190
Train Epoch: 0 [12800/446778 (3%)]	Loss: 0.793730
Train Epoch: 0 [25600/446778 (6%)]	Loss: 0.793730
Train Epoch: 0 [38400/446778 (9%)]	Loss: 0.797637
Train Epoch: 0 [51200/446778 (11%)]	Loss: 0.789824
Train Epoch: 0 [64000/446778 (14%)]	Loss: 0.832793
Train Epoch: 0 [76800/446778 (17%)]	Loss: 0.809355
Train Epoch: 0 [89600/446778 (20%)]	Loss: 0.782012
Train Epoch: 0 [102400/446778 (23%)]	Loss: 0.844512
Train Epoch: 0 [115200/446778 (26%)]	Loss: 0.828887
Train Epoch: 0 [128000/446778 (29%)]	Loss: 0.766387
Train Epoch: 0 [140800/446778 (32%)]	Loss: 0.824980
Train Epoch: 0 [153600/446778 (34%)]	Loss: 0.801543
Train Epoch: 0 [166400/446778 (37%)]	Loss: 0.809355
Train Epoch: 0 [179200/446778 (40%)]	Loss: 0.848418
Train Epoch: 0 [192000/446778 (43%)]	Loss: 0.766387
Train Epoch: 0 [204800/446778 (46%)]	Loss: 0.840605
Train Epoch: 0 [217600/446778 (49%)]	Loss: 0.750762
Train Epoch: 0 [230400/446778 (52%)]	Loss: 0.832793
Train Epoch: 0 [243200/446778 (54%)]	Loss: 0.824980
Train Epoch: 0 [256000/446778 (57%)]	Loss: 0.824980
Train Epoch: 0 [268800/446778 (60%)]	Loss: 0.789824
Train Epoch: 0 [281600/446778 (63%)]	Loss: 0.809355
Train Epoch: 0 [294400/446778 (66%)]	Loss: 0.782012
Train Epoch: 0 [307200/446778 (69%)]	Loss: 0.797637
Train Epoch: 0 [320000/446778 (72%)]	Loss: 0.824980
Train Epoch: 0 [332800/446778 (74%)]	Loss: 0.801543
Train Epoch: 0 [345600/446778 (77%)]	Loss: 0.785918
Train Epoch: 0 [358400/446778 (80%)]	Loss: 0.821074
Train Epoch: 0 [371200/446778 (83%)]	Loss: 0.801543
Train Epoch: 0 [384000/446778 (86%)]	Loss: 0.848418
Train Epoch: 0 [396800/446778 (89%)]	Loss: 0.864043
Train Epoch: 0 [409600/446778 (92%)]	Loss: 0.828887
Train Epoch: 0 [422400/446778 (95%)]	Loss: 0.793730
Train Epoch: 0 [435200/446778 (97%)]	Loss: 0.778105

 train set: Average loss: 0.0032, Accuracy: 223389/446778 (50%)


